"UUID","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"8d80ed25-280c-40c3-9a8c-bcad2a804250","Mierikswortels^] hOll|","char-offset:18","EVENT","","","","","","","",""
"44093ec6-81a1-42b2-ac97-dc4e48916913","25 gram","char-offset:68","PLACE","","","","","","UNVERIFIED","",""
"53e4d7af-3c4f-459b-84e1-c615ca1a8ba3","aardappelmeel","char-offset:76","PERSON","","","","","","","",""
"a1fe1504-d1b8-4cf5-9979-c76a39b1c4ac","50","char-offset:91","PLACE","http://pleiades.stoa.org/places/856221","50","45.25","36.25","numbered feature","UNVERIFIED","",""
"e708e5d4-cc67-4f13-a78f-b629d32e694b","P ê > ter","char-offset:94","EVENT","","","","","","","",""
"6340394b-3d19-4bbf-97df-fa7a3acc2775","2","char-offset:105","PLACE","http://pleiades.stoa.org/places/856173","2","45.25","35.25","numbered feature","UNVERIFIED","",""
"33384da9-e9f0-4c29-8aac-488fc14ffce0","eidooiers","char-offset:107","PERSON","","","","","","","",""
"910b52dd-76bb-4458-ad70-6869202354ce","J ipiel iveree","char-offset:133","EVENT","","","","","","","",""
"60feb958-a79a-4fec-a4c9-f4782bc5e71e","mieru** f","char-offset:158","EVENT","","","","","","","",""
"e98c60cb-72a1-468d-ad0b-52f0ac5f691b","bouillon","char-offset:177","PERSON","","","","","","","",""
"0af7e2c2-5e94-43fc-8530-3a59763fff60","water","char-offset:230","PERSON","","","","","","","",""
"feb60b00-4263-4c82-b4f4-3fac5ddb56b3","A j pelmeel","char-offset:249","EVENT","","","","","","","",""
"2cb5dc5c-ca7e-4aa4-a0b9-2b6e5af824f7","eidooI*","char-offset:305","EVENT","","","","","","","",""
"b00bd0f7-f04b-41f9-afec-909df68d0787","boter","char-offset:502","PERSON","","","","","","","",""
"1e4012a3-0eea-4d8b-a20f-448239952de1","•riktswortel","char-offset:535","EVENT","","","","","","","",""
"14befcd2-a326-49db-bca1-c57c8db27c18","vlees","char-offset:592","PERSON","","","","","","","",""
