"UUID","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"2795e68b-09d9-41bb-9cfd-049b0d4c154f","lamsvlees","char-offset:156","PERSON","","","","","","","",""
"f2dd2f14-f287-4307-a956-b3db576f4d45","lamsvlees","char-offset:387","PERSON","","","","","","","",""
"d1bb8ac3-366d-4909-8b10-1de48fcac87f","1000 gram","char-offset:826","PLACE","","","","","","UNVERIFIED","",""
"2226d5c0-1708-4ff2-9797-ce6f12eb800a","lamslapjes","char-offset:836","PERSON","","","","","","","",""
"5c583f82-1e38-4b19-bb15-6f02b2149963","1","char-offset:847","PLACE","http://pleiades.stoa.org/places/856172","1","45.25","35.25","numbered feature","UNVERIFIED","",""
"e5921541-dd5a-40b1-815d-e777e8574159","ui","char-offset:849","PERSON","","","","","","","",""
"3343b07a-e16e-4005-a802-b2b4ab083f76","1 teen","char-offset:852","PLACE","","","","","","UNVERIFIED","",""
"a4eb8dd8-0715-4c80-b625-04282e73113d","knoflook","char-offset:859","PERSON","","","","","","","",""
"e81b4c94-9b29-4faa-98e4-85e7d29622be","50 gram","char-offset:868","PLACE","","","","","","UNVERIFIED","",""
"46b43021-e9c2-44d2-9da8-826c28bec7d2","groene ingemaakte pepertjes","char-offset:876","PERSON","","","","","","","",""
"fdc2b9e4-b77a-49ff-ae88-f0ab70d4b3e8","2 theelepels","char-offset:904","PLACE","","","","","","UNVERIFIED","",""
"91456a40-5c60-416b-b1a0-5b51e5c7a0d6","kerriepoeder","char-offset:917","PERSON","","","","","","","",""
"5bc77ac4-ae35-480f-a168-79725c802a18","2 theelepels","char-offset:930","PLACE","","","","","","UNVERIFIED","",""
"32b446c2-47b7-41e6-84c7-c87388bb4eb1","sambal","char-offset:943","PERSON","","","","","","","",""
"9e402ef6-6b55-40d2-800b-dc02c8541b04","2 eetlepels","char-offset:950","PLACE","","","","","","UNVERIFIED","",""
"9d69847f-d468-46fe-b045-642fb1cb16e5","zonnebloemolie","char-offset:962","PERSON","","","","","","","",""
"debb5b93-25d8-4654-9ade-32ad08b85637","zout","char-offset:977","PERSON","","","","","","","",""
"3bcb3078-9597-4ce3-963e-ea77cdc08a0b","peper","char-offset:985","PERSON","","","","","","","",""
"e6556db4-d075-4131-bd0b-6fd4fa81eb2c","olie","char-offset:1050","PERSON","","","","","","","",""
"ffaa1266-d63d-4858-baf6-4554b9200b9a","groene pepertjes","char-offset:1536","PERSON","","","","","","","",""
