"UUID","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"005e4803-4297-4c86-8e15-e8e7ce1edf6c","1","char-offset:304","PLACE","http://pleiades.stoa.org/places/856172","1","45.25","35.25","numbered feature","UNVERIFIED","",""
"1aa1b149-2bc6-4067-9a92-c178446617ef","babykalkoen","char-offset:306","PERSON","","","","","","","",""
"f867ed37-a45f-43b0-85e4-0e85e70ff329","4 sneetjes","char-offset:319","PLACE","","","","","","UNVERIFIED","",""
"8c831281-30f0-452e-a978-842585d2ac72","witbrood","char-offset:330","PERSON","","","","","","","",""
"1cda7a0e-6cd1-4739-8888-cfedd88b95bd","250 gram","char-offset:339","PLACE","","","","","","UNVERIFIED","",""
"75f76f28-df06-4834-85fd-5bb82d2bd8b4","gerookt spek","char-offset:348","PERSON","","","","","","","",""
"74fcb474-6d10-422c-b122-dc037bab2563","1 kg","char-offset:372","PLACE","","","","","","UNVERIFIED","",""
"f64c53be-913d-4e30-be1e-b454b17aa995","kastanjes","char-offset:377","PERSON","","","","","","","",""
"cfa7ac7b-c326-4a91-a344-506b03eaae23","± 500 gram","char-offset:390","PLACE","","","","","","UNVERIFIED","",""
"a19d7982-5d90-4a41-8a07-05ac6bb4b8a8","kastanjepuree","char-offset:401","PERSON","","","","","","","",""
"30882d42-96ef-4014-9789-cd1607dafdf5","3-4 dl","char-offset:431","PLACE","","","","","","UNVERIFIED","",""
"085fc7e9-d60c-410e-9e06-1da4591960cf","melk","char-offset:438","PERSON","","","","","","","",""
"e00ebda9-b24b-4d39-b136-7ec19c6b8a67","250 gram","char-offset:444","PLACE","","","","","","UNVERIFIED","",""
"f0e936d0-d051-4f1c-b197-1008c60eb780","varkensvlees","char-offset:459","PERSON","","","","","","","",""
"07ee8704-6ebb-4dd8-a078-b054356cf9a2","2","char-offset:489","PLACE","http://pleiades.stoa.org/places/856173","2","45.25","35.25","numbered feature","UNVERIFIED","",""
"b04237fe-c179-470b-a17c-7772fe746841","eieren","char-offset:491","PERSON","","","","","","","",""
"5da5e7f5-eff6-40a1-ab85-82b6cf46267b","1 beker","char-offset:500","PLACE","","","","","","UNVERIFIED","",""
"9f7a1934-3583-4e7e-bfd8-8605984ef096","zure room","char-offset:508","PERSON","","","","","","","",""
"caede0c2-8edb-4584-9e25-0564409179bf","1","char-offset:518","PLACE","http://pleiades.stoa.org/places/856172","1","45.25","35.25","numbered feature","UNVERIFIED","",""
"1e988ddf-16f8-4255-ab38-4672d5118ee0","citroen","char-offset:520","PERSON","","","","","","","",""
"bb29f999-66fc-4005-9913-6673f6ebbbdd","1 bosje","char-offset:529","PLACE","","","","","","UNVERIFIED","",""
"1f2a634f-12f8-4b85-b3b0-210a2ccd4573","peterselie","char-offset:537","PERSON","","","","","","","",""
"86a2997e-dcc9-4b54-83f8-f8bf0a4d0006","3 dl","char-offset:548","PLACE","","","","","","UNVERIFIED","",""
"d2bb2208-8dc7-4906-832c-58691b0eb48d","rode wijn","char-offset:553","PERSON","","","","","","","",""
"e48c1ca3-0ee3-4dc1-9f3a-e23c3eb768cc","water","char-offset:566","PERSON","","","","","","","",""
"d396803b-6fa2-482b-be3d-41e9055f74a6","zout","char-offset:572","PERSON","","","","","","","",""
"aaf68284-ec2b-4fdb-981a-f4c34879beaa","peper","char-offset:580","PERSON","","","","","","","",""
"f88d8cf0-6953-49c9-ae97-a7b760d093a2","3 eetlepels","char-offset:2189","PLACE","","","","","","UNVERIFIED","",""
"e41be194-5d8a-4efe-a2e5-9e7ac99c7a1e","honing","char-offset:2201","PERSON","","","","","","","",""
"b51af022-9115-4fe0-ab1b-1d8a9cea56d8","3 eetlepels","char-offset:2212","PLACE","","","","","","UNVERIFIED","",""
"b860ffa0-c077-4d93-80db-9c38d651ba95","ketchup","char-offset:2224","PERSON","","","","","","","",""
