"UUID","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"e58794bd-faf3-47a4-b0a6-f0af3d75a495","4 kleine","char-offset:1072","PLACE","","","","","","UNVERIFIED","",""
"b6675331-da4e-4c65-a6b8-83409661b0af","pandora's","char-offset:1081","PERSON","","","","","","","",""
"60b70173-56a8-46e7-a52a-43e303a11781","3 eetlepels","char-offset:1099","PLACE","","","","","","UNVERIFIED","",""
"32f13943-998a-4ffe-9225-dc30b2fbd55e","peterselieblad","char-offset:1122","PERSON","","","","","","","",""
"d33c84f3-e441-4e2b-885c-d38b0e554ff3","2 eetlepels","char-offset:1137","PLACE","","","","","","UNVERIFIED","",""
"f403ce6b-68c6-47af-8bc9-a0285dc15305","korianderblad","char-offset:1160","PERSON","","","","","","","",""
"e404065a-563f-4b9e-8507-88a7043f2d8e","2 tenen","char-offset:1174","PLACE","","","","","","UNVERIFIED","",""
"20d15287-7f47-4506-b806-def9d18e0f54","knoflook","char-offset:1182","PERSON","","","","","","","",""
"529a8c24-0395-4788-ab22-146c58b54fe9","rode Spaanse peper","char-offset:1209","PERSON","","","","","","","",""
"d8d22b47-3e15-49dd-99e0-697758c7c292","3 eetlepels","char-offset:1247","PLACE","","","","","","UNVERIFIED","",""
"b1394ca5-b447-433b-b117-e40bdae87e64","olijfolie","char-offset:1259","PERSON","","","","","","","",""
"58904ddc-ecf7-49d9-ab62-38977fdc1630","zeezout","char-offset:1269","PERSON","","","","","","","",""
"7f83bfa0-ee24-4a07-bbab-f2659a954476","visjes","char-offset:1313","PERSON","","","","","","","",""
"4a08e8c0-3ea3-4498-a35f-aaf2b064b07c","visjes","char-offset:1447","PERSON","","","","","","","",""
"39d56f7e-31b1-46bb-bd72-69959acd837d","visje","char-offset:1612","PERSON","","","","","","","",""
"5699612b-aa94-4b18-b036-9286931ecd28","visjes","char-offset:1776","PERSON","","","","","","","",""
"02386244-4a64-4471-80e7-b5fbff3d2b51","visje","char-offset:1842","PERSON","","","","","","","",""
"4e10fb3f-4a72-4731-9ee5-1f8e191b0887","groene kruiden","char-offset:1927","PERSON","","","","","","","",""
"f2a242f9-5fbf-42c5-baac-10d791d8fe51","knoflook","char-offset:1965","PERSON","","","","","","","",""
"975268ef-a64c-4a58-84bc-69aa8804ea37","rode Peper","char-offset:1975","PERSON","","","","","","","",""
"7fe7f7be-c06b-4da4-a20c-264552e68bf5","olijfolie","char-offset:1989","PERSON","","","","","","","",""
"f36c4c7b-09a2-4857-b5c5-57adef675693","zout","char-offset:2005","PERSON","","","","","","","",""
"ebdbd630-ed19-4451-b891-6e0ab0b8837e","olijfolie","char-offset:2094","PERSON","","","","","","","",""
"c237b19b-d556-4110-8b1f-bfe80c8595a6","pandora's","char-offset:2152","PERSON","","","","","","","",""
"8540c2b7-8c18-477d-bd94-efc2a2209487","visjes","char-offset:2247","PERSON","","","","","","","",""
"bb7e7fae-4e05-42fc-8e74-d65aa9275032","zout","char-offset:2269","PERSON","","","","","","","",""
"f822bdd0-a145-4cfe-b311-f07aff63b8f3","pandora's","char-offset:2332","PERSON","","","","","","","",""
"ce9bc5a4-bfb0-4de0-b1fd-1d3c422e91ac","komkommer","char-offset:2519","PERSON","","","","","","","",""
"a8030841-c8cf-4942-94b8-945534b91f74","zeezout","char-offset:2611","PERSON","","","","","","","",""
