"UUID","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"18aad073-79bb-4b33-bc13-82b95985d79f","400 g","char-offset:86","PLACE","","","","","","UNVERIFIED","",""
"37ff892a-af07-4d93-87ee-c5935c2880c8","gehakt","char-offset:92","PERSON","","","","","","","",""
"1b0d7fea-21a1-43ec-b7c3-377d1cae8bdd","botert&l","char-offset:107","EVENT","","","","","","","",""
"d0125eb1-cb40-4f80-ae2b-6de117626ef6","n°temuskaat","char-offset:118","EVENT","","","","","","","",""
"2297dcbd-977d-4faa-be1b-aaeb6381c851","zwarte peper","char-offset:131","PERSON","","","","","","","",""
"22b1c159-8564-409b-b2ae-34c0acbe23c3","zout","char-offset:145","PERSON","","","","","","","",""
"272238b9-70c6-4c8b-bcaf-be2636d96251","r*s. te-)boter","char-offset:151","EVENT","","","","","","","",""
"cb922f37-198e-4980-8937-7050da6e2d20","peterselie","char-offset:167","PERSON","","","","","","","",""
"b5694f78-e702-4a29-8d50-2096629d8a9f","paneermeel","char-offset:179","PERSON","","","","","","","",""
"cea12c54-4bdc-413b-b72e-67329afdd162","»\]sl J""s","char-offset:191","EVENT","","","","","","","",""
"db3ad6f4-dd30-4466-8f47-05cdb85dff85","bouillon","char-offset:204","PERSON","","","","","","","",""
"b8c2f805-40ef-4fa4-b1fb-51975c126a1a","tablet","char-offset:214","PLACE","http://pleiades.stoa.org/places/765360192","Fundus Aeschinianus","","","unlocated,estate","UNVERIFIED","",""
"0eff7602-2941-421f-853b-b1d0ba230419","u'en>","char-offset:269","EVENT","","","","","","","",""
"242f2e4b-8e34-4e51-8b98-9e8625a1ef99","uien","char-offset:382","PERSON","","","","","","","",""
"bc0ffbba-0112-4ee8-9f83-f72871d1f384","water","char-offset:646","PERSON","","","","","","","",""
"fdb35062-296f-461d-9961-b228e0a74658","boter","char-offset:810","PERSON","","","","","","","",""
"73278437-7aba-49df-8df7-72d1337edf39","nootmuslij","char-offset:878","EVENT","","","","","","","",""
"bde480e8-58db-406d-a581-a859bddefa5b","banaan","char-offset:1447","PERSON","","","","","","","",""
"9bcbc1dc-4bc4-44d6-85ae-cab5b4512460","zure roomr","char-offset:1458","EVENT","","","","","","","",""
"f32c6b8f-72d8-4198-b8ab-1274903be45b","j °ar,anen","char-offset:1469","EVENT","","","","","","","",""
"624e341a-a8e1-456c-93d8-f9773948520d","30-40 g","char-offset:1481","EVENT","","","","","","","",""
"cf9c19d7-1763-4790-84d9-e95808a20057","(plante-)boter","char-offset:1489","PERSON","","","","","","","",""
"e7babcba-da54-4963-855c-11fc2f7fc676","suiker","char-offset:1516","PERSON","","","","","","","",""
"cea51e90-c500-48f9-a880-05e5bcf24492","citroensap","char-offset:1524","PERSON","","","","","","","",""
"48eb7d1c-e304-40ce-a26a-2a2f54b177c0","bananen","char-offset:1579","PERSON","","","","","","","",""
"9e80306a-163a-4597-ab4e-228e8e90c3d3","honing","char-offset:1731","PERSON","","","","","","","",""
"f761b26b-6f98-458f-8bdf-78a71a0081d7","zure room","char-offset:1750","PERSON","","","","","","","",""
"ab33f1f0-a5f6-41b5-a0c1-1c7765eb4e8d","hloem","char-offset:1889","EVENT","","","","","","","",""
"40a2604f-afcf-492a-b80a-9a500b760f43","kaneel","char-offset:1896","PERSON","","","","","","","",""
"6ac4c150-4f89-4620-8a30-a1d57e03b52e","kardemom","char-offset:1904","EVENT","","","","","","","",""
"3774f23e-7bd2-485e-b79f-173263b1e014","l„°*»sappel","char-offset:1916","EVENT","","","","","","","",""
"f8790da6-12da-4890-bcc9-f1fafc87454d","witte wijn","char-offset:1935","PERSON","","","","","","","",""
"2ea46045-34d7-4c2a-8a48-e090a39d845d","olie","char-offset:1947","PERSON","","","","","","","",""
"0adda0b6-a572-4f39-82db-b75c4017c19c","honing","char-offset:1958","PERSON","","","","","","","",""
