"UUID","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"d32c4288-b6f2-4c74-8ac4-fc2b941d1ae4","4 kleine","char-offset:1072","PLACE","","","","","","UNVERIFIED","",""
"e64e081f-fcd2-4d40-96eb-2831dbcb9c11","pandora's","char-offset:1081","PERSON","","","","","","","",""
"7a494a98-48ae-4611-a386-4a7fa16690b2","peterselieblad","char-offset:1122","PERSON","","","","","","","",""
"dff813f5-827d-435f-9760-1acca24e46bb","2 eetlepels","char-offset:1137","PLACE","","","","","","UNVERIFIED","",""
"485ef279-47d1-4871-b286-3558613b7f30","korianderblad","char-offset:1160","PERSON","","","","","","","",""
"647487f1-47ae-4e2d-9fcb-38beed1fff34","2 tenen","char-offset:1174","PLACE","","","","","","UNVERIFIED","",""
"cbbaf253-9e5e-4090-b32f-1b27c73512d7","knoflook","char-offset:1182","PERSON","","","","","","","",""
"e03ba1db-224e-4e32-9195-99f8541740dc","halve","char-offset:1203","PLACE","","","","","","UNVERIFIED","",""
"3c2577bb-93c2-4f47-bf0e-65ecdcd7e9e6","rode Spaanse peper","char-offset:1209","PERSON","","","","","","","",""
"9be24431-bead-4421-8339-c50ca5dad9be","3 eetlepels","char-offset:1247","PLACE","","","","","","UNVERIFIED","",""
"e22670dd-0af6-4e41-947d-4726998495e4","olijfolie","char-offset:1259","PERSON","","","","","","","",""
"8ed2b0ff-a0d1-4d0d-acdd-ca34fb6542d4","zeezout","char-offset:1269","PERSON","","","","","","","",""
"e82bf100-025c-4d72-beb5-0c0b5ef4f4f8","wat","char-offset:2508","PLACE","http://sws.geonames.org/1605062","Wat Bot","16.98114","100.33195","","UNVERIFIED","",""
"9f3c551b-b0aa-496d-bd5e-4fba1a914b07","komkommer","char-offset:2519","PERSON","","","","","","","",""
