"UUID","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"fe866277-1597-4972-b929-708b2240dc70","Pistachenootjes","char-offset:7","PERSON","","","","","","","",""
"ea4aaa1c-cb04-45b8-840e-6c993d4167c1","pistachenootjes","char-offset:55","PERSON","","","","","","","",""
"cb7e0769-d13f-49e9-8a3e-8343ab25c896","Pistachenootjes","char-offset:543","PERSON","","","","","","","",""
"169f9bc5-400d-42b8-ad3c-ebabc37331d6","koffiebonen","char-offset:1358","PERSON","","","","","","","",""
"55302307-5b7c-4f25-9c08-b463ef8cf7fa","pinda's","char-offset:1373","PERSON","","","","","","","",""
"d56661d3-e1d6-4d47-9e6d-947fd9d199a7","arachide-olie","char-offset:1429","PERSON","","","","","","","",""
"a679edea-2e54-4a15-b2a3-da29d6a6d2b1","pistaches","char-offset:1456","PERSON","","","","","","","",""
"26f4cf21-c0f7-493f-a039-268d39793cb0","100 gram","char-offset:2134","PLACE","","","","","","UNVERIFIED","",""
"1bc93631-c0fa-4a69-8f03-b870718d7639","Pistachenootjes","char-offset:2479","PERSON","","","","","","","",""
"d9ebfd95-3c01-46e6-9999-5f3111d516cb","pistaches","char-offset:2744","PERSON","","","","","","","",""
"a16d21a0-dfdb-4e00-b290-b9e06d5a2fdc","pistachenootjes","char-offset:2955","PERSON","","","","","","","",""
