"UUID","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"094f63de-fc7d-4b5e-ba48-092256da146a","sukadelappen","char-offset:72","PERSON","","","","","","","",""
"adf2005c-e709-46a2-872d-5092c4a93881","stoofvlees","char-offset:317","PERSON","","","","","","","",""
"19dc73f7-a120-4ce7-bde8-08fb309dd286","Vlees","char-offset:383","PERSON","","","","","","","",""
"787c1038-30b8-4448-9278-8b18bd647adc","vlees","char-offset:530","PERSON","","","","","","","",""
"3517af0a-abd2-4ea6-9615-56c41f7d8e0c","tomaten","char-offset:952","PERSON","","","","","","","",""
"b35def98-d3c5-4e87-a339-667ae7e17bfa","tomaten","char-offset:1152","PERSON","","","","","","","",""
"a5b06d64-bb5f-4df9-82bb-64b40a803d08","citroenschil","char-offset:1219","PERSON","","","","","","","",""
"35029e5e-2929-4963-88ed-02b8a88af3c7","peterselie","char-offset:1245","PERSON","","","","","","","",""
"8ff6e0ae-2ab3-45fe-aac9-42a44a19bb0d","knoflook","char-offset:1259","PERSON","","","","","","","",""
"801e5a47-9c11-4a7f-bea1-4a30bb27d3d5","kalfsschenkels","char-offset:1326","PERSON","","","","","","","",""
"31915a95-aa84-4c15-ba24-040d8bb3f1cb","risotto","char-offset:1342","PERSON","","","","","","","",""
"b4c44404-9421-488c-a0b3-85be20b5fca0","citroenschil","char-offset:1388","PERSON","","","","","","","",""
"75235579-f333-4d51-9f08-84ece3f430b7","1","char-offset:1612","PLACE","http://pleiades.stoa.org/places/856172","1","45.25","35.25","numbered feature","UNVERIFIED","",""
"d32a00d8-549f-45f1-b128-1e3f40c8bc97","ui","char-offset:1620","PERSON","","","","","","","",""
"eafb36a5-70f8-4403-a291-8d46e4662c32","2","char-offset:1624","PLACE","http://pleiades.stoa.org/places/856173","2","45.25","35.25","numbered feature","UNVERIFIED","",""
"6b0406b1-d1cc-460b-85d0-3c71bab793d4","worteltjes","char-offset:1626","PERSON","","","","","","","",""
"4a122c42-8d60-4534-b13b-2678f1c2a4a4","1 stengel","char-offset:1638","PLACE","","","","","","UNVERIFIED","",""
"f72246c1-6160-46c7-adf2-5b3be569f6a7","bleekselderij","char-offset:1648","PERSON","","","","","","","",""
"73e34a59-cdb5-477c-afda-555000086779","1","char-offset:1663","PLACE","http://pleiades.stoa.org/places/856172","1","45.25","35.25","numbered feature","UNVERIFIED","",""
"386754a2-03f9-4825-8d37-8bb069cecc69","knoflookteentje","char-offset:1671","PERSON","","","","","","","",""
"7820f04d-2faa-4133-ae09-44becaab759c","circa 40 gram","char-offset:1688","PLACE","","","","","","UNVERIFIED","",""
"3ae15958-e9a1-4035-9569-ee3c93328812","bloem","char-offset:1702","PERSON","","","","","","","",""
"9c9f85c7-87d8-4373-903c-49d8c2458a8b","zout","char-offset:1709","PERSON","","","","","","","",""
"2da2d8d6-a223-42d4-ae5d-d78f15f4841e","peper","char-offset:1717","PERSON","","","","","","","",""
