"UUID","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"4fe97066-2ac6-4baf-8267-1a43ba1ffeab","knoflook","char-offset:84","PERSON","","","","","","","",""
"bd6613eb-580b-4c7c-9b99-ac89330b7f19","lente-uitjes","char-offset:94","PERSON","","","","","","","",""
"a3fd0c64-66cd-4d4f-8f3b-945c180d30cc","sesamzaadjes","char-offset:108","PERSON","","","","","","","",""
"6b572b7a-2f3a-436b-a594-75a227eba93a","gember","char-offset:146","PERSON","","","","","","","",""
"8d9bf0cf-d1d9-42a7-9868-fe9677c5b3cf","rode chilipepers","char-offset:164","PERSON","","","","","","","",""
"16933944-1bbf-4898-aa80-ee1bb4d69fef","kaneel","char-offset:194","PERSON","","","","","","","",""
"6f758cee-ffb7-44b5-b064-bc19b23d0deb","mosterd","char-offset:210","PERSON","","","","","","","",""
"616ef7fd-b39c-44c3-9497-4558f405846f","zwarte peper","char-offset:221","PERSON","","","","","","","",""
"3e409b9c-53a5-4131-a873-495e41e8e8a8","biefstuk","char-offset:281","PERSON","","","","","","","",""
"2398c9a3-7850-45c4-a6f2-90809b10f92c","lente-uitjes","char-offset:351","PERSON","","","","","","","",""
"a0449337-829e-41aa-82a6-8ad3a885f80f","sesamzaad","char-offset:365","PERSON","","","","","","","",""
"90e9075d-03f8-4b54-aaf1-2bba44757d72","sesamolie","char-offset:378","PERSON","","","","","","","",""
"deceab4a-0c63-4167-8640-d831cd1ed3cd","azijn","char-offset:389","PERSON","","","","","","","",""
"48774ee1-00ef-4cf3-8a0b-894d60081f61","soyasaus","char-offset:398","PERSON","","","","","","","",""
"c96d0633-f7ec-4760-ae68-54109b5df8b4","bouillon","char-offset:948","PERSON","","","","","","","",""
"dbb2b0ce-8154-439d-814f-bef727c28826","bouillon","char-offset:1114","PERSON","","","","","","","",""
"c0ba5996-3067-437a-a2dd-70f314a867ac","rijst","char-offset:1237","PERSON","","","","","","","",""
"b66bf0d9-48bb-4eea-8ab0-4963431dc1a2","bouillon","char-offset:1331","PERSON","","","","","","","",""
"755d0d81-7993-4ed1-8739-c4041b48e059","500 gram","char-offset:1497","PLACE","","","","","","UNVERIFIED","",""
"fc17c6b3-5b95-456a-b8ff-c57f01a070ce","kogelbiefstuk","char-offset:1506","PERSON","","","","","","","",""
"8b06a09c-2af4-42d7-8f97-bcb3f442ec4d","2 middelgrote","char-offset:1521","PLACE","","","","","","UNVERIFIED","",""
"968d2ef5-c3da-4d1d-afea-191cae9ae06f","uien","char-offset:1535","PERSON","","","","","","","",""
"7224f354-7ff5-48ed-8961-23d8e77175e6","250 a 350 gram","char-offset:1552","PLACE","","","","","","UNVERIFIED","",""
"3d890652-c4b9-411a-a2e1-c379c0df08c6","zeevis","char-offset:1578","PERSON","","","","","","","",""
"f40a6047-198f-43a5-90ae-706e02d8186a","kabeljauw","char-offset:1599","PERSON","","","","","","","",""
"9a19de82-d5ac-4e61-8d95-cf53464b07bf","tarbot","char-offset:1612","PERSON","","","","","","","",""
"9b5b49a1-c1c2-406c-ad65-0c4507affd8e","300 gram","char-offset:1621","PLACE","","","","","","UNVERIFIED","",""
"784f8b55-574e-41e2-9c9f-9cc5e4afcac1","kalfslever","char-offset:1630","PERSON","","","","","","","",""
"f8f155ff-621a-466d-a6b5-4cfa2ac2aeaa","lever","char-offset:1666","PERSON","","","","","","","",""
