"UUID","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"24ec7aec-85af-48f6-bfd4-67ebfdddb2c0","Kiwi","char-offset:7","PERSON","","","","","","","",""
"084f7328-b4cf-4c97-b7a3-8c4127009d07","aardbeien","char-offset:124","PERSON","","","","","","","",""
"64c78348-949d-49c0-892d-57410028551b","aardbeien","char-offset:176","PERSON","","","","","","","",""
"7d820fae-bc5a-4702-8eb2-a96129e3efda","kiwi's","char-offset:200","PERSON","","","","","","","",""
"cab0d8b3-d511-4fdb-ba31-bf5e9ca695c1","kiwi","char-offset:403","PERSON","","","","","","","",""
"ebed95fb-57fb-4dd9-a430-3ea8dbdd3872","kwark","char-offset:425","PERSON","","","","","","","",""
"05ae6502-97da-4d4b-8a7c-c66cd4bab5f7","slagroom","char-offset:431","PERSON","","","","","","","",""
"4fdac60e-28d2-4cc7-b17c-5d1be63cfd5b","gelatine","char-offset:440","PERSON","","","","","","","",""
"498b3ebb-9d5f-4961-9ab7-0f0552ef4f7f","kwark","char-offset:658","PERSON","","","","","","","",""
"b9e3b24d-3723-4807-a0c5-d0b6deffa762","slagroom","char-offset:665","PERSON","","","","","","","",""
"9fc1dd2d-0cc2-4d1c-a71c-d9f21bc655df","yoghurt","char-offset:677","PERSON","","","","","","","",""
"507ba08a-dbc3-4101-bb75-2b5717309926","kiwi","char-offset:703","PERSON","","","","","","","",""
"8d037f46-162d-4030-9a6d-36ed5364662e","Gelatine","char-offset:1010","PERSON","","","","","","","",""
"a7bc4b82-3e38-4997-b5bf-3aa7c6f6f046","kiwi","char-offset:1174","PERSON","","","","","","","",""
"1ab925a2-13f2-4a84-b6c2-b1f4f5e67e94","Ananas","char-offset:1316","PERSON","","","","","","","",""
"e98319a9-d25d-405a-a4d8-54c5f586026b","papaja","char-offset:1326","PERSON","","","","","","","",""
"e3dba5b7-1fea-406f-bdff-3516552ec144","gelatine","char-offset:1432","PERSON","","","","","","","",""
"d8b0bce5-d812-4fde-837b-02a5cca88c69","kiwi's","char-offset:1659","PERSON","","","","","","","",""
"ca9c5539-e24c-40ac-9e6b-1ff413d811ec","kiwi","char-offset:1780","PERSON","","","","","","","",""
"ca085830-6899-43be-bee5-dfb959c86f77","3","char-offset:1828","PLACE","http://pleiades.stoa.org/places/856174","3","45.25","35.25","numbered feature","UNVERIFIED","",""
"08eae6df-431a-43cf-8a54-ce773f34ba43","kiwi's","char-offset:1836","PERSON","","","","","","","",""
"82a44aff-c06e-419c-bd6f-5c57ac08f537","3 blaadjes","char-offset:1844","PLACE","","","","","","UNVERIFIED","",""
"e5a5f6a1-fc71-4d91-8bf1-9fc58be984b3","gelatine","char-offset:1855","PERSON","","","","","","","",""
"3a9f1c53-bc34-4ec2-9bf8-625eb82d7af2","8","char-offset:1865","PLACE","http://pleiades.stoa.org/places/612314","8","39.25","29.75","numbered feature","UNVERIFIED","",""
"47fa7873-f650-47ce-8b2c-f92ed9248cf4","eidooiers","char-offset:1867","PERSON","","","","","","","",""
"1cfa57e0-04b3-46eb-8925-13e79b5c927e","230 gram","char-offset:1878","PLACE","","","","","","UNVERIFIED","",""
"0fda4850-7670-4508-b7bf-7ea437f505b5","suiker","char-offset:1887","PERSON","","","","","","","",""
"c8d7cd63-b208-44d7-bc04-9dc980740bb2","1 scheutje","char-offset:1895","PLACE","","","","","","UNVERIFIED","",""
"89a7ae2e-8f1b-46ed-91ae-5c3fd7711437","kirsch","char-offset:1906","PERSON","","","","","","","",""
"d798bcd4-95bc-4c88-90ce-f7766c6f0e8a","4","char-offset:1914","PLACE","http://pleiades.stoa.org/places/856175","4","45.25","35.25","numbered feature","UNVERIFIED","",""
"2baea9fe-bc49-4d01-9a3e-853ac4b15614","eiwitten","char-offset:1916","PERSON","","","","","","","",""
"5e474856-3546-4d62-b0f2-4af84be89e0e","3,75 dl","char-offset:1926","PLACE","","","","","","UNVERIFIED","",""
"983fe52b-cc16-4454-ab04-f0c9d2a80193","slagroom","char-offset:1934","PERSON","","","","","","","",""
"10a05a1d-fe8a-4922-a629-94576600cfd5","kiwi's","char-offset:1953","PERSON","","","","","","","",""
"9c18aaf5-55e2-4fbe-b409-de3bb4a5a56b","gelatine","char-offset:2297","PERSON","","","","","","","",""
"c88870f0-9367-46e2-9dd3-393c9c5d67fe","water","char-offset:2314","PERSON","","","","","","","",""
"47451c45-0754-423d-84a6-1e5eb8aceaee","dooiers","char-offset:2329","PERSON","","","","","","","",""
"6c2b7861-b044-439b-8fb6-13914e41dd64","150 gram","char-offset:2341","PLACE","","","","","","UNVERIFIED","",""
"06847a54-42bd-4612-8dfb-91bb9e26c546","suiker","char-offset:2350","PERSON","","","","","","","",""
"5d6292e2-5eb6-4fc0-8255-9e0b5460e9ff","gelatineblaadjes","char-offset:2398","PERSON","","","","","","","",""
"554bef82-3de6-4084-837e-3552e324ac9d","gelatine","char-offset:2460","PERSON","","","","","","","",""
"090484bd-ca49-4392-a22a-4cc313cea495","eiwitten","char-offset:2764","PERSON","","","","","","","",""
"1b5c1dda-15b9-43e9-8ed3-9b41b99cd9f5","slagroom","char-offset:2779","PERSON","","","","","","","",""
"7ddbb097-f2aa-491b-979b-ee157e480426","suiker","char-offset:2814","PERSON","","","","","","","",""
"ee271c08-badb-44f6-adde-3f9f3abb1ece","slagroom","char-offset:2922","PERSON","","","","","","","",""
"b87924c3-2a0f-4ddc-8a18-949e2a615f7e","kiwi's","char-offset:3435","PERSON","","","","","","","",""
"4f4bd8bd-a768-4c09-9b9d-913a0efd8e24","slagroom","char-offset:3512","PERSON","","","","","","","",""
"50cc063b-4a0d-49ad-bd76-079391dc4044","gelatine","char-offset:3527","PERSON","","","","","","","",""
