"UUID","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"c6d3d902-847b-4c8b-9a0b-179c51c84e64","Gehaktbal","char-offset:22","PERSON","","","","","","","",""
"b87421c7-871a-48a5-885b-da018419e56b","Andijvie","char-offset:32","PERSON","","","","","","","",""
"c62a0f62-d144-42a0-90f2-7e7fd04f83c5","Aardappelen","char-offset:42","PERSON","","","","","","","",""
"52b7e93c-e214-4c3d-b943-97119e2bca0c","4 dozUn","char-offset:251","EVENT","","","","","","","",""
"83fca265-416d-44b3-9746-c3e77d21c460","doughnuts","char-offset:259","PERSON","","","","","","","",""
"9dcbf2ee-2af4-4b47-8f2a-3e78458330d6","ker \'","char-offset:271","EVENT","","","","","","","",""
"40f9d163-b6ca-45ed-a5b9-faecac1c8af8","eidooiers","char-offset:278","PERSON","","","","","","","",""
"20bd5d5a-45d1-42af-80cd-856c67e58e4b","1 kopje","char-offset:289","PLACE","","","","","","UNVERIFIED","",""
"5a3985a9-72ff-4c18-b650-631482e63f3b","sulter","char-offset:297","EVENT","","","","","","","",""
"5f86e71f-d5e1-4aea-8ca6-4c8a079e1078","bo*","char-offset:317","EVENT","","","","","","","",""
"1c5e80df-bdc0-4d9a-890a-ac1ba601b89e","kofflmar£arine","char-offset:321","EVENT","","","","","","","",""
"9b9df771-8644-4518-a2e9-ae6ad242a44a","1 kopje","char-offset:337","PLACE","","","","","","UNVERIFIED","",""
"a6b1c340-c220-458d-9806-f765dc32c811","melk","char-offset:345","PERSON","","","","","","","",""
"62be1f25-f763-4fd2-a72b-e0f05b4eae4d","'nocrtn","char-offset:351","EVENT","","","","","","","",""
"d5a60d96-b840-465c-b5b2-34473792b22a","f ,epels B'st' % koffielepel w„Us,kaat.","char-offset:360","EVENT","","","","","","","",""
"cf7bd480-354b-485e-a15a-1044fa27fa4d","1 koffielepel","char-offset:400","PLACE","","","","","","UNVERIFIED","",""
"567c56fc-e86f-41fb-9d00-ab53ed653f4d","zout","char-offset:414","PERSON","","","","","","","",""
"8a77d9f4-c576-465c-9724-3438834c3b70","Alfc pJe bloem""ooreit","char-offset:420","EVENT","","","","","","","",""
"2099ea9f-46ba-4314-9c7b-9cfcccf8a953","eieren","char-offset:488","PERSON","","","","","","","",""
"546a2d5d-9805-427c-87b2-73f345bcfbab","melk","char-offset:506","PERSON","","","","","","","",""
"c83340c1-aba2-4d18-a667-01df5f7dc1f2","suiker","char-offset:571","PERSON","","","","","","","",""
"70b3e34f-a276-41c0-bd93-31c0abd14a64","hoer","char-offset:593","EVENT","","","","","","","",""
"6a5ca3e0-7cfe-40d6-aef6-0e6e055325c1","margarine","char-offset:601","PERSON","","","","","","","",""
"e839e413-fb1f-4504-bc99-9e63758bc01a","loem","char-offset:682","PLACE","","","","","","UNVERIFIED","",""
"3e772536-d625-484d-a12e-eee9c499d374","een laagje","char-offset:802","PLACE","","","","","","UNVERIFIED","",""
"af257cd2-d698-4b5b-bdc3-3b56fe0994ae","bloem","char-offset:813","PERSON","","","","","","","",""
"e6faba41-dedc-4333-b021-cd8845d61ad7","brood","char-offset:1110","PERSON","","","","","","","",""
"fe20403b-fac0-4b50-a72b-9ece29e602db","chocolade","char-offset:1423","PERSON","","","","","","","",""
"f8f4deb6-7d58-461a-b185-f319be5adefe","vis","char-offset:1444","PERSON","","","","","","","",""
"fcc80c7a-c1b7-4176-99d9-bf0266b1c94c","tomaten","char-offset:1449","PERSON","","","","","","","",""
"7fa5ea65-6485-492f-b7c1-e34ad7f3e15f","uien","char-offset:1458","PERSON","","","","","","","",""
"fa00ee1e-3ab8-40df-be01-98937dd02162","aardbeien","char-offset:1483","PERSON","","","","","","","",""
